,B3LYP,B3PW91,B97-1,B97-2,B97-D3(0),BLYP,BMK,BP86,HCTH/407,HSE-HJS,M05,M05-2X,M06,M06-2X,M06-L,M08-HX,M11,M11-L,MN12-L,MN12-SX,MN15,MN15-L,N12,N12-SX,OLYP,PBE,PBE0,PW6B95,PW91,revPBE,revTPSS,RPBE,SOGGA11-X,τ-HCTH,τ-HCTHh,TPSS,TPSSh,B97M-V,B97M-rV,ωB97X-V,ωB97M-V,B3LYP-D3(BJ),PBE-D3(BJ),PBE0-D3(BJ),PW6B95-D3(BJ),SCAN-D3(BJ),SVWN5,HF,revPBE-D3(BJ),M06-L-D3(0),B2PLYP-D3(BJ),DSD-PBEP86-D3(BJ),PWPB95-D3(BJ),revTPSS-D3(BJ),M11-D3(BJ),M11-L-D3(0),M06-D3(0),M06-2X-D3(0),N12-D3(0),N12-SX-D3(BJ)
MN_SR-TM-BE17_7,14.3556837,11.10704577,18.27164527,18.49141432,50.28633135,15.53603441,13.02217311,17.90834159,13.25874463,10.14792085,5.479175451,17.84983642,18.31783765,10.78497677,25.02873767,14.12712359,15.76057031,15.21231632,21.68243863,19.00222219,8.781766754,12.21289079,15.84816303,18.78872605,36.46018208,14.83213623,10.31044756,12.80285495,36.25695952,13.2120473,14.14033893,13.44338225,14.18164722,29.54167447,20.71379942,12.27767384,10.73132475,18.15914993,18.14900669,19.42204091,14.598482,15.17984147,15.27629965,10.71283771,13.0557097,14.19385593,26.16776026,11.47797046,14.30839965,26.43191682,13.48737724,,39.80750596,14.426813,15.7910171,15.2227823,18.3179861,10.7850002,15.8707221,18.9938322
MN_SR-MGN-BE107_12,1.106718715,0.564455096,0.967953843,0.984756177,1.558363925,1.219596289,0.955898348,3.556699594,2.068024391,1.523506594,0.262322524,1.193701041,0.038103684,1.126480394,1.50269212,0.676071211,1.278049546,2.693854011,0.743191622,0.977311299,2.118941952,1.592883829,3.194779551,3.405590572,0.317481821,0.329300953,1.378504324,1.048945382,0.607446827,1.147464295,3.210991708,1.134196873,0.118515198,0.300445117,1.01621263,2.971047954,2.258125567,3.611423607,3.604818761,0.466777401,2.715504,1.524645984,0.578202397,1.177550842,0.950112715,0.984374561,4.794281102,25.38614496,0.448513396,1.420978987,0.165499224,,0.898535472,3.3857832,1.2680052,2.6940842,0.0380975,1.1264822,3.1942952,3.3081125
MGCDB84_PlatonicHD6_5,22.86488758,31.48107488,13.31465163,32.10055771,3.30216537,33.52428647,17.57434501,30.39327649,42.29260121,14.87044893,27.59932715,5.5833465,7.08109657,2.1271586,24.61664027,2.99567457,14.00327937,16.22068578,26.34339751,15.4974258,15.08757882,18.50194957,30.88592046,18.31478243,64.18560784,20.06615806,15.39581877,28.70463983,15.67791184,44.89396996,36.93204665,42.13862651,15.82231514,37.15353956,17.07862204,39.01672778,35.47438174,4.67037808,4.13439956,4.03198681,3.455912,0.85307509,6.0464622,3.28863742,22.349662,7.6143627,25.4229538,24.67457942,11.94350528,23.83373474,,,18.37242758,21.2126826,12.9372106,2.2962234,4.0346031,2.7379194,1.743782,8.2870506
MGCDB84_PlatonicHD6_6,28.07801848,40.92070591,19.31782334,38.45669674,2.08178986,41.13245705,25.04829676,38.12890786,40.63750046,16.33776303,15.35390939,13.5361657,6.64330542,16.30334322,13.40023173,6.72798933,5.72736817,10.56092833,20.07696482,7.47113399,2.95361403,1.15600056,41.87992804,24.00066074,79.71145346,20.88538022,17.18364389,27.32669414,15.63526288,55.14571199,36.60960759,50.26533579,18.42103056,42.10575942,23.51725817,42.93871302,39.385602,1.63164771,2.35204687,7.03158166,4.856765,5.49856648,6.55936258,5.85545652,22.74752702,15.28922953,41.9610564,32.22184141,18.07661086,13.22537508,,,19.73871843,20.9517206,6.1226047,7.6596866,9.465433,16.3324596,0.2097536,16.6965062
GMTKN55_BSR36_36,24.56,18.84,24.19,21.92,17.7,24.66,13.17,17.37,27.17,18.62,26.37,5.68,9.11,10.8,14.43,8.37,4.01,6.08,1.56,10.65,1.36,10.11,15.84,19.42,23.14,18.46,17.5,11.58,19.77,21.47,14.79,23.69,22.07,30.49,22.17,21.54,21.3,1.239147637,1.550334677,4.6,0.909588,8.76,9.09,8.19,3.05,4.97,6.43598519,29.07967707,3.08,13.27,5.550008844,3.060004876,3.05,3.7104375,1.8959473,2.9826469,6.3840193,9.8010747,6.6983987,9.1857424
GMTKN55_MB16-43_9,35.42,18.24,17.18,24.54,26.23,32.8,5.65,17.95,31.2,4.89,16.52,15.4,22.84,9.91,77.77,3.49,7.9,47.85,14.54,16.18,10.67,6.54,2.8,1.73,42.92,2.92,3.19,0.71,1.78,28.3,26.93,29.43,17.69,33.45,18.3,23.49,21.87,21.22615282,20.59452353,15.53,5.190653,12.62,9.56,8.7,2.56,13.5,51.62064418,78.4463023,0.69,77.17,7.230011522,0.200000319,2.56,12.2189049,4.7624613,40.7303896,21.1624237,10.4196816,13.9604893,11.4538888
GMTKN55_MB16-43_25,30.96,19.51,22.76,24.22,28.57,32.51,7.25,18.4,28.49,12.56,2.82,25.69,18.59,9.46,52.82,0.74,2.51,24.37,2.69,7.16,8.93,12.62,2.17,0.71,36.65,10.12,11.9,5.42,8.84,28.72,45.48,30.91,22.63,31.96,21.7,36.63,34.97,12.65840331,12.08582961,23.75,5.421258,16.15,2.31,4.34,0.5,1.73,35.33863457,79.04095178,11.66,52.04,10.18001622,3.530005625,0.5,36.1723786,0.1810129,20.1419699,17.5404724,9.7182764,12.1664882,9.5085547
GMTKN55_SIE4x4_6,26.87,22.56,20.74,20.02,31.72,15.36,14.56,34.48,30.08,19.09,22.63,13.84,20.71,13.64,21.72,11.65,19.3,7.38,0.38,4.02,16.42,7.88,26.47,17.42,34.43,28.89,19.04,21.71,29.11,29.21,29.13,29.33,15.85,29.09,22.79,29.81,26.34,20.07370818,20.07392228,20.93,19.677499,26.92,28.92,19.07,14.26,24.55,36.13735394,12.2519851,29.33,21.72,14.35002287,7.450011872,14.26,29.1684914,19.3010793,7.3928702,20.7103263,13.6400188,26.4979053,17.4354806
GMTKN55_SIE4x4_15,21.87,20.51,22.19,21.07,32.58,4.49,12.26,32.33,32.97,18.52,17.65,7.1,17.97,8.48,26.06,8.67,6.11,17.01,18.92,15.47,13.68,20.1,29.73,18.98,32.86,33.69,18.14,19.19,33.87,32.44,29.36,32.63,11.65,30.96,24.33,29.7,23.84,24.84514832,24.86087567,10.89,10.754738,22.34,34.01,18.44,12.54,24.88,37.98483118,24.31578832,33.07,26.1,13.16002097,6.230009928,12.54,29.7228257,6.145084,17.2394424,18.1595956,8.508947,30.3914698,19.2480656
GMTKN55_ISOL24_4,51.1,34.14,32.25,40.59,32.15,34.13,12.95,41.31,68.81,21.56,40.13,2.98,11.15,6.96,22.65,0.4,0.85,14.3,2.02,12.52,0.42,0.83,32.64,17.04,73.14,33.68,19.38,23.25,33.36,55.66,35.94,58.22,21.34,60.72,34.11,45.52,38.96,,,3.65,0,20.15,14.16,1.23,5.68,4.45,15.93030115,50.36322601,13.86,20.29,12.55002,0.160000255,5.68,13.603836,2.9207455,2.2193975,5.800856,4.8838363,2.062503,0.7557223
GMTKN55_MB16-43_7,47.29,35.44,30.3,42.73,47,21.22,1.43,47.59,64.49,19.13,11.84,26.26,15.63,14.44,122.72,8.12,3.42,23.49,14.02,9.39,19.79,1.85,7.84,5.49,84.09,36.54,18.09,22.63,30.96,70.78,65.01,73.03,27.86,53.94,30.32,56.53,47.89,34.71815371,33.69097205,18.83,8.089778,22.13,22.77,5.01,12.31,14.07,44.52919321,50.91497342,40.14,122.17,11.24001791,0.470000749,12.31,48.7828181,0.06331,13.6947414,13.4334047,15.1244868,15.1133505,19.819237
GMTKN55_MB16-43_12,45.76,25.21,22.31,39.11,33.63,53.55,11.03,15.34,48.65,14.37,20.78,24.74,30.18,12.37,27.74,19.39,29.48,59.18,18.63,0.17,21.51,13.72,17.53,11.52,55.24,0.8,11.68,9.83,2.67,37.01,50.79,40.92,42.75,46.99,21.08,37.9,39.55,36.38051286,35.17346656,33,12.298587,13.15,16.6,5.43,0.52,21.09,85.10685664,142.8577739,0,26.88,10.2900164,3.990006358,0.52,29.9903733,23.6233644,49.3231263,27.6938784,13.0889433,40.8976947,31.847583
GMTKN55_MB16-43_17,51.64,36.42,38.08,43.58,45.5,47.92,5.04,38.88,45.76,22.99,8.97,44.02,22.16,16.01,54.49,3.85,4.94,61.98,31.9,17.89,2.93,42.77,1.48,1.9,65.99,24.03,22.48,15.96,20.81,57.35,91.75,60.3,38.35,54.16,36.7,73.75,68.61,51.66106917,50.72200573,41.79,14.438428,27.35,10.82,9.71,9.67,7.15,56.83005103,117.419253,28.83,53.89,11.73001869,4.080006502,9.67,76.0636994,8.4534229,52.1817795,19.551809,16.6018665,24.7914887,12.610813
GMTKN55_MB16-43_18,51.81,15.24,22.63,31.1,48.47,40.79,3.15,19.22,46.64,5.98,19.56,24.4,27.31,8.05,51.28,1.97,3.01,25.69,14.2,7.76,24.49,2.8,14.11,27.91,68.37,1.95,10.16,4.33,4.71,45.89,70.85,51.18,23.97,46.6,22.83,48.62,40.61,14.53453835,13.66149862,19.58,9.928142,24.31,17.18,24.29,1.48,33.52,118.8926525,117.8589545,10.98,50.61,16.98002706,0.660001052,1.48,53.0751675,0.0185592,17.0662756,25.0430233,8.5739512,34.6301153,42.7734103
GMTKN55_MB16-43_19,81.74,32.86,34.94,47.92,76.73,70.58,10.02,40.67,79.44,6.84,23.5,23.89,32.15,19.38,57.46,13.02,27.22,101.15,1.5,22.26,14.69,24.32,7.47,20.22,91.06,8.58,1.2,3.87,8.25,59.38,62.64,64.03,27.5,88.83,43.65,53.54,47,47.4752095,46.08096392,18.99,3.444829,27.56,19.49,26.06,13.36,15.93,106.0825515,172.5239334,3.1,56.64,21.8400348,2.260003602,13.36,29.030323,17.8811412,85.7069533,29.9541891,19.8710697,42.5681973,52.761688
GMTKN55_MB16-43_41,67.84,26.68,36.57,39.69,31.2,77.62,5.27,20.71,42.39,17.62,32.71,0.09,40.52,19.32,77.09,22.69,26.8,54.42,11.09,8.58,29.87,30.41,4.61,11.1,44.84,4.41,12.51,10.23,7.63,28.22,5.99,32.57,40.14,49.62,33.37,25.42,27.93,37.4528871,36.30944082,19.38,11.095338,26.44,16.94,8.39,10.91,17.96,56.12528018,137.4742979,18.5,76.53,11.83001885,9.690015442,10.91,19.6854846,19.9166467,40.855207,38.4762095,19.774442,26.3189209,13.9000213
GMTKN55_MB16-43_43,48.92,19.73,22.78,39.26,54.15,38.44,12.03,20.22,66.24,0.92,15.99,62.95,26.32,35.08,,12.45,8.56,52.38,25.85,10.32,37.08,29.87,16.23,30.29,77.94,4.88,2.9,3.15,0.31,55.15,75.34,61.42,36.37,51.56,20.53,53.07,46.21,20.907219,19.60926665,25.08,1.371403,11.66,14.92,21.65,1.74,23.11,118.9742041,127.0141502,10.5,0,13.84002206,2.990004765,1.74,51.9827094,13.7855624,44.1029241,24.211118,35.5403783,35.8670596,51.4175127
MGCDB84_PlatonicIG6_6,88.9043984,56.1064018,70.2573593,63.2017768,21.422831,79.2582387,50.2395419,39.9494668,57.8563455,52.9258602,65.578226,41.22083,61.6815719,22.245001,142.4691421,45.3353739,65.7357562,19.9681172,25.8813408,12.5939559,2.5219253,55.6832083,49.864368,62.0069283,41.3950826,36.9575343,51.7456812,46.8797561,44.7460317,40.0613659,50.5727074,44.1722473,62.5515139,53.7877555,54.4171551,33.0825776,41.7623948,42.0836046,41.3115126,13.2335759,13.250273,40.0023847,8.0926541,24.4472305,29.1751579,23.6127149,14.1555212,137.0272693,21.5158865,140.4955988,,,12.82483355,84.2522763,60.6083488,35.3173513,56.2862809,20.5529857,12.1713456,34.1942987
GMTKN55_MB16-43_4,70.28,28.44,49.81,36.81,51.48,97.67,15.11,16.22,17.79,21.56,12.18,23.66,58.4,10.66,82.54,26.23,33.81,53.79,0.57,15.38,2.16,8.42,23.06,0.59,23.17,2.97,17.48,4.67,2.35,17.22,52.44,21.56,45.71,50.76,45.49,49.59,53.22,20.913631,19.93462793,55.11,24.264094,44.31,15.85,4.36,4.9,2.87,55.50700608,194.6928349,8.68,81.98,26.71004257,8.380013354,4.9,36.7757752,28.7205883,49.5758064,56.7477688,11.1422407,33.5549311,16.3637307
GMTKN55_MB16-43_15,67.76,36.11,37.84,42.09,35.95,83.36,15.4,27.79,45.37,29.26,30.16,0.45,54.65,0.36,76.24,29.59,43.37,61.92,7.8,18.62,0.64,1.63,14.22,22.98,45.79,13.38,25.78,21.08,16.6,28.9,37.64,31.22,45.32,55.68,38,40.57,43.74,39.72698792,38.5915685,36.62,19.796589,28.02,6.38,5.56,2.41,2.01,17.63604117,145.0564226,11.71,75.53,15.0000239,1.130001801,2.41,13.473775,33.8540896,51.6221067,52.6101753,0.898842,9.6702528,3.6967254
GMTKN55_MB16-43_16,119.95,36.53,65.51,61.66,88.6,168.69,11.71,15.9,40.92,19.64,10.25,3.31,89.49,8.87,42.6,57.53,74.45,109.44,14.91,39.74,32.75,52.96,44.01,5.39,40,22.7,12.6,6.43,12.77,9.42,58.71,15.48,70.76,99.37,71.21,50.6,58.81,69.13439781,67.55494755,95.75,56.799681,65.92,48.54,13.66,20.19,14.35,90.58854813,317.310048,44.53,41.97,37.22005931,0.700001116,20.19,27.1254703,62.3970142,97.7678431,87.2294553,9.3645398,71.0644732,40.5682738
