,B3LYP,B3PW91,B97-1,B97-2,B97-D3(0),BLYP,BMK,BP86,HCTH/407,HSE-HJS,M05,M05-2X,M06,M06-2X,M06-L,M08-HX,M11,M11-L,MN12-L,MN12-SX,MN15,MN15-L,N12,N12-SX,OLYP,PBE,PBE0,PW6B95,PW91,revPBE,revTPSS,RPBE,SOGGA11-X,τ-HCTH,τ-HCTHh,TPSS,TPSSh,B97M-V,B97M-rV,ωB97X-V,ωB97M-V,B3LYP-D3(BJ),PBE-D3(BJ),PBE0-D3(BJ),PW6B95-D3(BJ),SCAN-D3(BJ),SVWN5,HF,revPBE-D3(BJ),M06-L-D3(0),B2PLYP-D3(BJ),DSD-PBEP86-D3(BJ),PWPB95-D3(BJ),revTPSS-D3(BJ),M11-D3(BJ),M11-L-D3(0),M06-D3(0),M06-2X-D3(0),N12-D3(0),N12-SX-D3(BJ)
GMTKN55_MB16-43_40,50.29,9.8,38.4,25.36,17.03,122.94,51.08,38.22,29.62,13.84,11.99,9.33,68.17,10.45,82.59,42.49,59.22,34.98,9.38,11.51,11.32,19.99,28.44,23.8,37.58,50.64,10.04,1.88,40.29,45.15,0.1,41.46,60.31,4.08,25.8,11.2,30.48,14.77287726,13.74318216,61.51,24.256289,18.14,67.02,6.73,5.94,23.04,67.73849148,227.7476381,78.22,82.07,17.25002749,12.51001994,5.94,20.1331558,53.0343614,27.8203608,66.3339589,10.8920173,45.4354663,2.6207743
MN_DC9_6,70.96242002,75.91817235,60.82048779,86.12683389,117.7171743,114.6699906,3.711966739,99.13788788,153.7989418,67.1609705,65.61447457,10.68641552,13.50173465,25.67791928,74.15142076,30.93362091,17.32922579,12.5430264,56.5976095,32.28414578,33.53536108,10.96644141,63.40125033,14.57508879,158.3794438,101.132739,65.30825018,54.12290225,88.36136207,144.5610681,98.84766497,151.3642069,54.05544504,111.9528767,65.07764062,95.78542104,83.13515336,42.66764507,41.92600982,35.84652523,16.056923,65.11104293,97.74575916,62.30045521,52.25999118,36.97520898,17.535488,72.71484625,136.8121854,66.26904176,,,18.08873019,85.2377108,15.4024682,19.2856055,12.5380718,25.4725263,48.0767721,3.8943064
GMTKN55_MB16-43_1,62.33,38.69,33.67,51.94,77.7,34.41,11.21,54.13,95.64,18.45,31.12,39.49,20.07,22.64,54.01,1.58,7.3,53.46,26.15,11.74,35.18,24.12,4.33,28.26,115.83,37.45,15.39,17.39,28.69,91.83,89.98,97.82,36.26,77.81,36.05,67.45,56.72,40.46909486,39.37238516,25.2,10.948393,30.19,20.2,1.01,3.11,16.66,93.89585053,124.4407272,53.13,53.27,13.12002091,4.830007697,3.11,69.6185503,12.1609671,42.2167393,17.727465,23.2719831,21.8826825,46.8354712
GMTKN55_MB16-43_2,86.84,49.07,46.84,61.53,82.25,72.45,10.3,61.08,89.51,26.93,41.37,5.32,49.5,1.89,63,15.48,18.82,91.04,7.34,26.29,2.4,32.86,13.95,2.51,105.42,35.17,23.41,27.79,32.57,78.04,91.11,81.33,41.43,96.02,55.81,74.97,66.98,57.96652823,56.80188774,39.16,27.740682,40.35,10.89,0.14,4.94,1.6,58.99173688,153.4487858,24.62,62.38,24.75003944,1.080001721,4.94,62.091091,11.6753143,76.321105,47.0548861,1.3836128,19.7874692,30.2151248
GMTKN55_MB16-43_3,75.95,60.18,52.11,66.01,64.03,74.52,19.33,64.29,87.63,51.35,40.94,15.87,40.49,13.2,75.77,32.52,30.18,77.92,18.21,0.27,14.01,46.23,32.81,22.83,93.22,50.56,49.85,32.32,47.67,73.76,61.48,75.18,57.53,88.52,57.19,60.62,60.64,,,50.83,32.346373,37.34,31.3,30.56,4.04,22.81,6.878747358,140.0896711,33.38,75.05,14.97002386,0.010000016,4.04,38.1678963,22.2396831,65.0285932,37.9672946,13.7992899,2.9037368,1.7333503
GMTKN55_MB16-43_24,69.35,69.09,63.18,71.19,87.83,23.83,5.22,94.82,109.51,49.55,9.8,78.81,35.74,35.42,67.06,24.85,18.94,51.75,17.91,14.8,22.62,25.66,37.78,22.54,138.47,85.07,50.66,24.06,76.06,128.03,115.45,131.49,45.53,94.75,61.29,104.33,89.29,40.55661462,39.11833748,38.82,9.18158,39.22,68.91,34.88,12.22,23.85,17.09923187,53.30555002,92.91,66.45,17.36002766,9.440015044,12.22,96.143964,24.2864834,40.7428584,33.4324737,36.0258286,12.1312724,3.9170954
GMTKN55_MB16-43_34,72.91,45.85,47.74,66.21,72.46,58.66,1.31,49.32,99.83,28.8,46.57,45.37,37.98,31.27,16.86,5.75,12.59,55.8,14.72,10.93,28.55,25.18,14.14,4.53,110.16,34.57,25.61,15.93,28.81,82.01,68.93,87.88,55.64,85.18,46.37,59.32,54.48,64.21985627,62.66827366,38.82,13.180466,32.08,13.14,5.05,0.16,8.06,76.64039844,135.7979838,33.96,16.18,22.62003605,5.330008494,0.16,43.449244,6.0855994,42.6307071,35.7225615,31.7553782,16.1316805,28.4217965
GMTKN55_MB16-43_37,90.45,54.4,63.8,65.91,66.29,113.64,23.89,40.66,69.15,47.53,36.22,7.03,66.33,2.63,25.5,36.24,50.84,65.24,24.56,17.57,31.32,19,0.03,16.73,70.63,22.55,42.88,26.35,23.18,57.94,73.14,64.09,71.53,78.33,59.34,72.02,76.34,30.60872413,29.32258861,65.46,28.191568,54.39,3.83,24.17,3.84,3.13,73.58766243,242.1573608,18.49,24.85,32.28005144,11.99001911,3.84,50.5047589,44.1842003,54.5489848,63.9336875,1.9886858,25.0575463,6.1503524
MGCDB84_AE18_1,1.5098995,2.6416395,1.8009215,2.7002129,1.733305,1.3444514,0.7099472,0.1764505,6.4624353,0.697126,1.4026843,0.1409937,0.0213336,0.740715,2.2995664,1.4041977,1.2227534,1.9964747,5.217592,2.2150186,0.5145365,2.3292508,2.9171791,0.4004779,0.9142402,0.0378686,0.8095674,0.9817362,0.9380946,2.799057,0.0544592,3.2732032,3.0075991,5.7667808,4.6275317,0.1008103,0.078689,0.6057957,0.6085902,0.478969,3.394499,1.5098995,0.0378686,0.8095674,0.9817362,0.0899915,13.41436129,0.0104808,2.799057,2.2995664,0.738967149,0.52312572,0.856892013,0.0544592,1.2227534,1.9964747,0.0213336,0.740715,2.9171791,0.4004779
MGCDB84_AE18_2,3.5798525,1.701978,1.0208415,1.968749,4.0014835,1.0121005,1.1163265,0.790481,5.7711665,2.760272,0.555579,1.492893,1.936869,0.2809315,3.2512135,2.952568,0.4285615,4.6039125,2.811688,3.4236025,5.0796625,3.1289765,3.998491,0.918112,1.17632,3.4191275,2.7056465,4.272841,1.1992025,1.288361,2.5726805,2.1631625,1.1980555,6.0262865,4.1852495,1.825038,1.652542,7.2856465,7.288501,0.0923305,1.5895905,3.5798525,3.4191275,2.7056465,4.272841,0.362289,21.6457967,13.2075565,1.288361,3.2512135,0.278416331,2.067737265,0.326815795,2.5726805,0.4285615,4.6039125,1.936869,0.2809315,3.998491,0.918112
MGCDB84_AE18_3,3.103902667,1.473598667,1.591651,2.033164333,1.863180333,0.943938667,0.807906667,0.588026333,3.369032,2.391883667,1.070999667,1.135508333,1.685860333,0.869493667,2.148376333,4.113821,0.532141333,9.477198,4.045683,2.779224667,2.796350667,3.467275333,11.15306067,4.123922667,1.689196333,3.363316,2.293943667,5.971665,0.841299333,1.811730667,2.463736667,2.973353667,1.334479667,3.605448,3.370133333,2.232398333,2.082022333,6.486026333,6.497670333,0.2151,0.960291,3.103902667,3.363316,2.293943667,5.971665,0.395513,28.06147341,9.479882333,1.811730667,2.148376333,0.103283798,2.646034587,1.174979628,2.46373667,0.53214133,9.477198,1.68586033,0.86949367,11.15306067,4.12392267
MGCDB84_AE18_4,0.9302175,1.3982025,0.33911275,0.21818125,0.3890375,0.926229,1.8796705,1.2448835,1.04926875,4.9340145,0.541714,0.7443465,0.877291,0.10531525,0.5772435,2.51182375,0.85444325,6.43629125,2.5568185,0.31575075,0.41797425,2.815033,7.05485925,1.64251925,0.010576,5.8850845,4.8309085,4.72991525,3.0551045,0.49174925,0.76682525,1.036659,0.5341335,1.0965985,0.72371175,0.6280155,0.44265025,3.39430675,3.4039825,0.6918805,0.78871875,0.9302175,5.8850845,4.8309085,4.72991525,2.72578825,34.53914111,14.752785,0.49174925,0.5772435,1.343479513,4.186554717,2.168691204,0.76682525,0.85444325,6.43629125,0.877291,0.10531525,7.05485925,1.64251925
MGCDB84_AE18_5,1.455062,0.94388,0.073638,0.410472,1.178158,0.043468,1.499998,0.235292,0.234404,4.379122,1.153638,0.824944,1.306052,0.180272,0.023422,1.610042,0.406434,3.747632,0.388702,0.578978,1.10279,1.56162,4.390956,0.405046,0.16306,5.258664,4.298084,5.682922,2.132168,0.10162,1.652692,1.686048,0.148452,0.059542,0.369448,1.87733,1.597014,1.924444,1.933636,0.151858,0.333634,1.455062,5.258664,4.298084,5.682922,1.594656,37.39526877,15.161982,0.10162,0.023422,1.385926418,5.039288273,1.675894914,1.652692,0.406434,3.747632,1.306052,0.180272,4.390956,0.405046
MGCDB84_AE18_6,1.73119,0.562036667,0.108873333,0.422581667,1.587361667,0.436418333,1.08356,0.398085,0.131456667,4.02162,1.411125,1.242236667,1.499423333,0.056748333,0.525306667,0.74729,0.404283333,2.003541667,1.318785,0.84807,1.176915,0.23814,2.44159,0.268311667,0.337898333,4.873743333,3.952256667,6.681061667,1.392326667,0.308545,1.24618,1.875076667,0.052438333,0.375526667,0.250133333,2.230335,1.943451667,1.640438333,1.649061667,0.354703333,0.339886667,1.73119,4.873743333,3.952256667,6.681061667,0.540186667,39.20747227,15.82899667,0.308545,0.525306667,0.932477328,4.83124762,1.30348994,1.24618,0.40428333,2.00354167,1.49942333,0.05674833,2.44159,0.26831167
MGCDB84_AE18_7,1.573672857,0.367041429,0.04608,0.244822857,1.328262857,0.32186,1.033858571,0.606657143,0.831378571,3.907844286,0.666958571,1.430081429,0.84561,0.161084286,1.289465714,0.002408571,0.291477143,0.778338571,2.737037143,1.686391429,1.424671429,0.910427143,1.762568571,0.440447143,0.561671429,4.832284286,3.846438571,7.569014286,0.978865714,0.142271429,0.732238571,1.656441429,0.254612857,0.202428571,0.324431429,2.358381429,2.090722857,1.046142857,1.05432,0.03685,0.520654286,1.573672857,4.832284286,3.846438571,7.569014286,0.080185714,40.58330779,16.56362143,0.142271429,1.289465714,0.793367697,4.838927423,1.060213702,0.73223857,0.29147714,0.77833857,0.84561,0.16108429,1.76256857,0.44044714
MGCDB84_AE18_8,2.6085325,0.17552,0.683685,0.34337125,0.796625,1.80063625,0.177955,1.84350375,0.60292125,3.5610625,0.30783875,1.8202575,0.14195125,0.3542175,1.77428125,0.0692225,1.05852625,1.15653125,1.9970625,1.3582375,0.6847825,1.14970875,0.33787625,0.18905375,0.99654875,4.14407375,3.51239875,8.92658875,0.0815375,0.67997375,1.18118125,2.20245,0.27195,0.4100125,0.73079,3.27521875,2.82335625,0.67349,0.68152625,0.39837,1.07414125,2.6085325,4.14407375,3.51239875,8.92658875,0.4992975,42.08659816,19.499875,0.67997375,1.77428125,0.064627936,4.652471523,0.36972597,1.18118125,1.05852625,1.15653125,0.14195125,0.3542175,0.33787625,0.18905375
MGCDB84_AE18_9,2.923947778,0.279715556,0.84741,0.691583333,0.648222222,2.345822222,0.209771111,2.354157778,0.588731111,3.701591111,0.948625556,2.043608889,0.401161111,0.483241111,1.749505556,0.168202222,1.735785556,1.11497,1.567194444,0.958846667,0.288018889,1.745217778,0.041046667,0.868533333,1.06789,4.079296667,3.66008,9.944504444,0.549298889,0.50267,0.248935556,1.981036667,0.427614444,0.433024444,0.762007778,3.140602222,2.615924444,0.214331111,0.222133333,0.389115556,1.154187778,2.923947778,4.079296667,3.66008,9.944504444,0.983707778,43.21102511,22.17003889,0.50267,1.749505556,0.205188471,4.710927022,0.068044113,0.24893556,1.73578556,1.11497,0.40116111,0.48324111,0.04104667,0.86853333
MGCDB84_AE18_10,2.677366,0.033617,0.596216,0.987564,0.23702,2.161701,0.011548,2.298671,1.153307,4.204563,1.517317,1.994729,0.892905,0.208189,1.345585,0.163907,2.203799,0.580741,0.485848,0.575351,0.051492,1.732301,0.753603,1.735753,1.146723,4.519524,4.167674,10.6606,0.508905,0.181933,0.887649,1.231965,0.227705,1.060367,0.668558,2.653932,2.105218,0.528423,0.520863,0.095041,0.727933,2.677366,4.519524,4.167674,10.6606,0.854802,44.24973085,24.519504,0.181933,1.345585,0.05524652,5.076840478,0.249815808,0.887649,2.203799,0.580741,0.892905,0.208189,0.753603,1.735753
MGCDB84_AE18_11,2.523027273,0.053636364,0.284236364,0.990127273,0.683963636,1.793636364,0.714645455,2.043436364,0.868718182,4.145581818,1.642490909,1.249018182,0.535463636,0.0126,0.396181818,0.083172727,1.311472727,1.435954545,0.100509091,0.784936364,2.626518182,1.953781818,1.326281818,1.220236364,1.2438,4.929327273,4.110409091,11.33061818,0.291890909,0.585445455,1.719336364,0.867354545,0.501072727,0.644518182,0.050927273,2.283627273,1.903818182,0.612345455,0.596409091,0.533663636,0.574145455,2.523027273,4.929327273,4.110409091,11.33061818,1.154463636,46.38993679,22.5793,0.585445455,0.396181818,2.531079229,9.200103296,3.017959204,1.71933636,1.31147273,1.43595454,0.53546364,0.0126,1.32628182,1.22023636
MGCDB84_AE18_12,2.453291667,0.413225,0.233241667,1.274816667,0.177916667,1.7814,1.263575,1.9834,1.681191667,4.439125,1.748766667,1.652091667,0.503341667,0.368158333,0.4115,0.145083333,0.852841667,2.139341667,0.789958333,0.166091667,2.3424,1.1804,0.789891667,0.997858333,1.253608333,5.315975,4.407433333,11.81978333,0.1329,1.085291667,2.485358333,0.447466667,0.615725,1.523433333,0.029525,1.901691667,1.574891667,1.253408333,1.235866667,0.895983333,0.741641667,2.453291667,5.315975,4.407433333,11.81978333,0.961458333,48.05090909,22.930875,1.085291667,0.4115,2.062202175,8.563805484,2.491351472,2.48535833,0.85284167,2.13934167,0.50334167,0.36815833,0.78989167,0.99785833
MGCDB84_AE18_13,2.356253846,0.328692308,0.023969231,1.369407692,0.471892308,1.765023077,1.708284615,2.220153846,1.918353846,4.380646154,1.512069231,1.225315385,0.545892308,0.229607692,0.445130769,0.162446154,0.898492308,1.918584615,0.4836,0.536592308,2.368538462,0.927369231,1.155784615,0.966569231,1.307676923,5.344138462,4.343915385,12.29891538,0.332653846,1.164861538,2.817853846,0.346207692,0.738530769,1.841723077,0.158730769,1.969915385,1.669323077,1.974915385,1.957146154,1.054853846,0.459538462,2.356253846,5.344138462,4.343915385,12.29891538,1.390969231,49.46728191,22.46119231,1.164861538,0.445130769,1.689790507,7.913309338,2.033042492,2.81785385,0.89849231,1.91858461,0.54589231,0.22960769,1.15578461,0.96656923
MGCDB84_AE18_14,1.943771429,0.4748,0.386714286,1.306678571,0.617614286,1.347985714,2.442057143,2.150678571,2.100585714,4.537757143,1.159064286,0.781014286,0.229807143,0.022142857,0.335121429,0.054957143,0.695071429,1.547078571,0.103421429,0.475471429,2.423414286,0.859592857,0.821321429,0.333742857,1.179592857,5.6296,4.496464286,12.55455,0.255407143,1.501342857,3.423207143,0.01185,0.672214286,2.121335714,0.46985,1.786814286,1.528885714,2.662707143,2.645342857,1.451664286,0.12285,1.943771429,5.6296,4.496464286,12.55455,1.6057,51.02064856,22.42303571,1.501342857,0.335121429,1.665096924,7.622175604,1.812845349,3.42320714,0.69507143,1.54707857,0.22980714,0.02214286,0.82132143,0.33374286
MGCDB84_AE18_15,1.3972,0.712506667,0.87722,1.256753333,0.847706667,0.7626,3.23974,1.93466,2.456213333,4.789,1.0448,0.29308,0.071093333,0.29788,0.41812,0.189706667,0.411773333,1.308866667,0.194986667,0.225053333,2.19466,0.7731,0.4995,0.354266667,1.052586667,6.025233333,4.743973333,12.74014667,0.059193333,1.95238,4.104193333,0.487646667,0.496,2.574486667,0.7574,1.506853333,1.2971,3.34554,3.328853333,1.990033333,0.312066667,1.3972,6.025233333,4.743973333,12.74014667,1.697086667,52.43396826,22.58824667,1.95238,0.41812,1.762803303,7.480183157,1.698096428,4.10419333,0.41177333,1.30886667,0.07109333,0.29788,0.4995,0.35426667
MGCDB84_AE18_16,1.40764375,0.7409125,0.98454375,1.558775,1.306175,0.8283625,3.63233125,2.1200875,2.69648125,4.912375,1.05823125,0.30005625,0.05941875,0.09628125,0.286225,0.1675125,0.3811,0.86296875,0.85980625,0.641025,1.629675,0.6507875,0.41146875,0.9827375,1.24186875,6.20049375,4.8676,13.19529375,0.1032375,2.17155,4.4431625,0.72479375,0.5975875,3.12399375,0.77915625,1.47248125,1.2626,3.62389375,3.60795,1.95115,0.30205625,1.40764375,6.20049375,4.8676,13.19529375,1.78775625,53.54527997,23.41284375,2.17155,0.286225,1.679860026,7.456433143,1.356534327,4.4431625,0.3811,0.86296875,0.05941875,0.09628125,0.41146875,0.9827375
MGCDB84_AE18_17,1.257323529,0.838394118,1.160105882,1.815729412,1.681823529,0.690388235,4.065288235,2.155770588,3.002370588,5.096264706,0.996264706,0.272364706,0.164182353,0.008482353,0.194117647,0.042958824,0.302041176,0.938470588,1.185535294,0.476952941,0.788147059,0.408835294,0.5283,1.633794118,1.3678,6.445182353,5.051805882,13.61790588,0.070470588,2.4858,5.004882353,1.0634,0.662864706,3.622617647,0.860635294,1.285841176,1.091841176,4.013641176,3.998505882,2.033188235,0.354788235,1.257323529,6.445182353,5.051805882,13.61790588,1.868552941,54.66682776,24.3046,2.4858,0.194117647,1.704929403,7.490162677,1.06144343,5.00488235,0.30204118,0.93847059,0.16418235,0.00848235,0.5283,1.63379412
MGCDB84_AE18_18,0.935727778,1.035661111,1.459916667,2.026094444,2.0534,0.335761111,4.601122222,2.019622222,3.437833333,5.371038889,1.046683333,0.100827778,0.262738889,0.011883333,0.166411111,0.0423,0.098133333,1.202655556,1.531994444,0.278922222,0.027916667,0.015522222,0.766611111,2.411155556,1.478405556,6.811738889,5.326488889,13.94960556,0.095111111,2.921361111,5.676888889,1.525594444,0.630255556,4.202811111,1.007611111,0.976638889,0.812455556,4.434133333,4.419772222,2.29065,0.558627778,0.935727778,6.811738889,5.326488889,13.94960556,1.806544444,55.5822451,25.19787222,2.921361111,0.166411111,1.796443921,7.532893671,0.864152465,5.67688889,0.09813333,1.20265556,0.26273889,0.01188333,0.76661111,2.41115556
